Name,Age,Overall Rating,Potential,Team,Contract expiry,Height,Weight,Strong foot,Value,Full Name,date,year
M. Hummels,32,86,86,Borussia Dortmund,2019 ~ 2023,191cm,96kg,Right,€44M,Mats Hummels,"Nov 9, 2021",FIFA 22
K. Casteels,29,86,87,VfL Wolfsburg,2015 ~ 2024,197cm,86kg,Left,€52M,Koen Casteels,"Nov 9, 2021",FIFA 22
M. Škriniar,26,86,87,Inter,2017 ~ 2023,188cm,80kg,Right,€70M,Milan Škriniar,"Nov 9, 2021",FIFA 22
G. Chiellini,36,86,86,Juventus,2005 ~ 2023,187cm,85kg,Left,€12M,Giorgio Chiellini,"Nov 9, 2021",FIFA 22
L. Insigne,30,86,86,Napoli,2010 ~ 2022,163cm,59kg,Right,€65.5M,Lorenzo Insigne,"Nov 9, 2021",FIFA 22
K. Koulibaly,30,86,86,Napoli,2014 ~ 2023,187cm,89kg,Right,€55.5M,Kalidou Koulibaly,"Nov 9, 2021",FIFA 22
Marcos Llorente,26,86,89,Atlético de Madrid,2019 ~ 2027,184cm,74kg,Right,€88M,Marcos Llorente Moreno,"Nov 9, 2021",FIFA 22
Jordi Alba,32,86,86,FC Barcelona,2012 ~ 2024,170cm,68kg,Left,€47M,Jordi Alba Ramos,"Nov 9, 2021",FIFA 22
Sergio Busquets,32,86,86,FC Barcelona,2008 ~ 2023,189cm,76kg,Right,€45M,Sergio Busquets Burgos,"Nov 9, 2021",FIFA 22
Parejo,32,86,86,Villarreal CF,2020 ~ 2024,182cm,74kg,Right,€53.5M,Daniel Parejo Muñoz,"Nov 9, 2021",FIFA 22
Gerard Moreno,29,86,86,Villarreal CF,2018 ~ 2027,180cm,77kg,Left,€68M,Gerard Moreno Balagueró,"Nov 9, 2021",FIFA 22
P. Aubameyang,32,85,85,Arsenal,2018 ~ 2023,187cm,80kg,Right,€43.5M,Pierre-Emerick Aubameyang,"Nov 9, 2021",FIFA 22
Thiago Silva,36,85,85,Chelsea,2020 ~ 2022,183cm,79kg,Right,€9.5M,Thiago Emiliano da Silva,"Nov 9, 2021",FIFA 22
Jorginho,29,85,85,Chelsea,2018 ~ 2023,180cm,68kg,Right,€52.5M,Luiz Frello Filho Jorge,"Nov 9, 2021",FIFA 22
Roberto Firmino,29,85,85,Liverpool,2015 ~ 2023,181cm,76kg,Right,€54M,Roberto Firmino Barbosa de Oliveira,"Nov 9, 2021",FIFA 22
İ. Gündoğan,30,85,85,Manchester City,2016 ~ 2023,180cm,80kg,Right,€51.5M,İlkay Gündoğan,"Nov 9, 2021",FIFA 22
K. Walker,31,85,85,Manchester City,2017 ~ 2024,183cm,83kg,Right,€39M,Kyle Walker,"Nov 9, 2021",FIFA 22
E. Cavani,34,85,85,Manchester United,2020 ~ 2022,185cm,77kg,Right,€26M,Edinson Cavani,"Nov 9, 2021",FIFA 22
De Gea,30,85,85,Manchester United,2011 ~ 2023,192cm,76kg,Right,€36M,David De Gea Quintana,"Nov 9, 2021",FIFA 22
M. Rashford,23,85,89,Manchester United,2014 ~ 2023,186cm,70kg,Right,€77.5M,Marcus Rashford,"Nov 9, 2021",FIFA 22
K. Schmeichel,34,85,85,Leicester City,2011 ~ 2023,189cm,89kg,Right,€9M,Kasper Schmeichel,"Nov 9, 2021",FIFA 22
Y. Tielemans,24,85,87,Leicester City,2019 ~ 2023,176cm,72kg,Right,€69.5M,Youri Tielemans,"Nov 9, 2021",FIFA 22
W. Ndidi,24,85,88,Leicester City,2017 ~ 2024,183cm,74kg,Right,€66.5M,Wilfred Ndidi,"Nov 9, 2021",FIFA 22
A. Hakimi,22,85,89,Paris Saint-Germain,2021 ~ 2026,181cm,73kg,Right,€73M,Achraf Hakimi,"Nov 9, 2021",FIFA 22
K. Coman,25,85,86,FC Bayern München,2015 ~ 2023,180cm,76kg,Right,€64.5M,Kingsley Coman,"Nov 9, 2021",FIFA 22
L. Sané,25,85,86,FC Bayern München,2020 ~ 2025,183cm,80kg,Left,€64.5M,Leroy Sané,"Nov 9, 2021",FIFA 22
M. Reus,32,85,85,Borussia Dortmund,2012 ~ 2023,180cm,71kg,Right,€43M,Marco Reus,"Nov 9, 2021",FIFA 22
Y. Sommer,32,85,85,Borussia Mönchengladbach,2014 ~ 2023,183cm,79kg,Right,€26.5M,Yann Sommer,"Nov 9, 2021",FIFA 22
P. Gulácsi,31,85,85,RB Leipzig,2015 ~ 2025,191cm,86kg,Right,€28.5M,Péter Gulácsi,"Nov 9, 2021",FIFA 22
S. Handanovič,36,85,85,Inter,2012 ~ 2022,193cm,92kg,Right,€6M,Samir Handanovič,"Nov 9, 2021",FIFA 22
S. de Vrij,29,85,85,Inter,2018 ~ 2023,189cm,78kg,Right,€45M,Stefan de Vrij,"Nov 9, 2021",FIFA 22
N. Barella,24,85,90,Inter,2020 ~ 2024,172cm,68kg,Right,€81M,Nicolò Barella,"Nov 9, 2021",FIFA 22
L. Martínez,23,85,89,Inter,2018 ~ 2023,174cm,72kg,Right,€78M,Lautaro Martínez,"Nov 9, 2021",FIFA 22
L. Bonucci,34,85,85,Juventus,2018 ~ 2024,190cm,85kg,Right,€17.5M,Leonardo Bonucci,"Nov 9, 2021",FIFA 22
M. de Ligt,21,85,90,Juventus,2019 ~ 2024,189cm,89kg,Right,€75M,Matthijs de Ligt,"Nov 9, 2021",FIFA 22
S. Milinković-Savić,26,85,86,Lazio,2015 ~ 2024,191cm,76kg,Right,€63M,Sergej Milinković-Savić,"Nov 9, 2021",FIFA 22
Koke,29,85,85,Atlético de Madrid,2011 ~ 2024,176cm,75kg,Right,€52.5M,Jorge Resurrección,"Nov 9, 2021",FIFA 22
A. Griezmann,30,85,85,Atlético de Madrid,"Jun 30, 2022 On Loan",176cm,73kg,Left,€53M,Antoine Griezmann,"Nov 9, 2021",FIFA 22
M. Depay,27,85,86,FC Barcelona,2021 ~ 2023,176cm,78kg,Right,€63M,Memphis Depay,"Nov 9, 2021",FIFA 22
E. Hazard,30,85,85,Real Madrid CF,2019 ~ 2024,175cm,74kg,Right,€52M,Eden Hazard,"Nov 9, 2021",FIFA 22
Carvajal,29,85,85,Real Madrid CF,2013 ~ 2025,173cm,73kg,Right,€47.5M,Daniel Carvajal Ramos,"Nov 9, 2021",FIFA 22
David Silva,35,85,85,Real Sociedad,2020 ~ 2022,173cm,67kg,Left,€22M,David Josué Jiménez Silva,"Nov 9, 2021",FIFA 22
Oyarzabal,24,85,89,Real Sociedad,2014 ~ 2024,181cm,79kg,Left,€77.5M,Mikel Oyarzabal Ugarte,"Nov 9, 2021",FIFA 22
A. Gómez,33,85,85,Sevilla FC,2021 ~ 2024,167cm,68kg,Right,€33.5M,Alejandro Gómez,"Nov 9, 2021",FIFA 22
T. Partey,28,84,84,Arsenal,2020 ~ 2024,185cm,77kg,Right,€37M,Thomas Partey,"Nov 9, 2021",FIFA 22
E. Martínez,28,84,85,Aston Villa,2020 ~ 2024,195cm,88kg,Right,€33.5M,Emiliano Martínez,"Nov 9, 2021",FIFA 22
H. Ziyech,28,84,84,Chelsea,2020 ~ 2025,181cm,65kg,Left,€42.5M,Hakim Ziyech,"Nov 9, 2021",FIFA 22
T. Werner,25,84,87,Chelsea,2020 ~ 2025,180cm,76kg,Right,€56.5M,Timo Werner,"Nov 9, 2021",FIFA 22
É. Mendy,29,84,86,Chelsea,2020 ~ 2025,197cm,86kg,Right,€35M,Édouard Mendy,"Nov 9, 2021",FIFA 22
K. Havertz,22,84,92,Chelsea,2020 ~ 2025,189cm,82kg,Left,€94.5M,Kai Havertz,"Nov 9, 2021",FIFA 22
J. Henderson,31,84,84,Liverpool,2011 ~ 2025,182cm,80kg,Right,€29.5M,Jordan Henderson,"Nov 9, 2021",FIFA 22
J. Grealish,25,84,85,Manchester City,2021 ~ 2027,180cm,81kg,Right,€50.5M,Jack Grealish,"Nov 9, 2021",FIFA 22
P. Foden,21,84,92,Manchester City,2016 ~ 2024,171cm,69kg,Left,€94.5M,Phil Foden,"Nov 9, 2021",FIFA 22
L. Shaw,25,84,86,Manchester United,2014 ~ 2023,181cm,75kg,Left,€48.5M,Luke Shaw,"Nov 9, 2021",FIFA 22
Ricardo Pereira,27,84,84,Leicester City,2018 ~ 2023,175cm,70kg,Right,€40.5M,Ricardo Barbosa Pereira,"Nov 9, 2021",FIFA 22
W. Ben Yedder,30,84,84,AS Monaco,2019 ~ 2024,170cm,68kg,Right,€41.5M,Wissam Ben Yedder,"Nov 9, 2021",FIFA 22
G. Wijnaldum,30,84,84,Paris Saint-Germain,2021 ~ 2024,175cm,74kg,Right,€40.5M,Georginio Wijnaldum,"Nov 9, 2021",FIFA 22
M. Sabitzer,27,84,85,FC Bayern München,2021 ~ 2025,178cm,76kg,Right,€48M,Marcel Sabitzer,"Nov 9, 2021",FIFA 22
R. Guerreiro,27,84,84,Borussia Dortmund,2016 ~ 2023,170cm,71kg,Left,€40.5M,Raphaël Guerreiro,"Nov 9, 2021",FIFA 22
M. Ginter,27,84,85,Borussia Mönchengladbach,2017 ~ 2022,191cm,86kg,Right,€42.5M,Matthias Ginter,"Nov 9, 2021",FIFA 22
F. Kostić,28,84,84,Eintracht Frankfurt,2019 ~ 2023,184cm,82kg,Left,€42.5M,Filip Kostić,"Nov 9, 2021",FIFA 22
André Silva,25,84,85,RB Leipzig,2021 ~ 2026,185cm,84kg,Right,€51M,André Miguel Valente da Silva,"Nov 9, 2021",FIFA 22
J. Iličić,33,84,84,Atalanta,2017 ~ 2022,190cm,79kg,Left,€27M,Josip Iličić,"Nov 9, 2021",FIFA 22
E. Džeko,35,84,84,Inter,2021 ~ 2023,193cm,80kg,Right,€18M,Edin Džeko,"Nov 9, 2021",FIFA 22
M. Brozović,28,84,84,Inter,2016 ~ 2022,181cm,68kg,Right,€37M,Marcelo Brozović,"Nov 9, 2021",FIFA 22
F. Chiesa,23,84,90,Juventus,"Jun 1, 2022 On Loan",175cm,70kg,Right,€66.5M,Federico Chiesa,"Nov 9, 2021",FIFA 22
Luis Alberto,28,84,84,Lazio,2016 ~ 2025,183cm,74kg,Right,€42.5M,Luis Alberto Romero Alconchel,"Nov 9, 2021",FIFA 22
S. Kjær,32,84,84,AC Milan,2020 ~ 2024,190cm,86kg,Right,€27.5M,Simon Kjær,"Nov 9, 2021",FIFA 22
M. Maignan,25,84,89,AC Milan,2021 ~ 2026,191cm,89kg,Right,€49.5M,Mike Maignan,"Nov 9, 2021",FIFA 22
F. Kessié,24,84,86,AC Milan,2019 ~ 2022,183cm,88kg,Right,€49.5M,Franck Yannick Kessié,"Nov 9, 2021",FIFA 22
T. Hernández,23,84,90,AC Milan,2019 ~ 2024,184cm,81kg,Left,€62.5M,Theo Hernández,"Nov 9, 2021",FIFA 22
D. Mertens,34,84,84,Napoli,2013 ~ 2022,169cm,61kg,Right,€20.5M,Dries Mertens,"Nov 9, 2021",FIFA 22
K. Trippier,30,84,84,Atlético de Madrid,2019 ~ 2023,173cm,69kg,Right,€36.5M,Kieran Trippier,"Nov 9, 2021",FIFA 22
S. Savić,30,84,84,Atlético de Madrid,2015 ~ 2024,187cm,80kg,Right,€34.5M,Stefan Savić,"Nov 9, 2021",FIFA 22
Felipe,32,84,84,Atlético de Madrid,2019 ~ 2022,190cm,84kg,Right,€27.5M,Felipe Augusto de Almeida Monteiro,"Nov 9, 2021",FIFA 22
Y. Carrasco,27,84,84,Atlético de Madrid,2020 ~ 2024,185cm,73kg,Right,€45M,Yannick Carrasco,"Nov 9, 2021",FIFA 22
J. Giménez,26,84,88,Atlético de Madrid,2013 ~ 2025,185cm,79kg,Right,€52M,José María Giménez,"Nov 9, 2021",FIFA 22
Piqué,34,84,84,FC Barcelona,2008 ~ 2024,194cm,85kg,Right,€13.5M,Gerard Piqué Bernabeu,"Nov 9, 2021",FIFA 22
D. Alaba,29,84,84,Real Madrid CF,2021 ~ 2026,180cm,78kg,Left,€35.5M,David Alaba,"Nov 9, 2021",FIFA 22
N. Fekir,27,84,84,Real Betis Balompié,2019 ~ 2023,173cm,75kg,Left,€45M,Nabil Fekir,"Nov 9, 2021",FIFA 22
Iago Aspas,33,84,84,RC Celta de Vigo,2015 ~ 2023,176cm,67kg,Left,€27M,Iago Aspas Juncal,"Nov 9, 2021",FIFA 22
Jesús Navas,35,84,84,Sevilla FC,2017 ~ 2024,172cm,60kg,Right,€13M,Jesús Navas González,"Nov 9, 2021",FIFA 22
Fernando,33,84,84,Sevilla FC,2019 ~ 2022,183cm,76kg,Right,€21M,Fernando Reges,"Nov 9, 2021",FIFA 22
M. Acuña,29,84,84,Sevilla FC,2020 ~ 2024,172cm,69kg,Left,€37M,Marcos Acuña,"Nov 9, 2021",FIFA 22
Azpilicueta,31,83,83,Chelsea,2012 ~ 2022,178cm,77kg,Right,€25M,César Azpilicueta Tanco,"Nov 9, 2021",FIFA 22
A. Rüdiger,28,83,84,Chelsea,2017 ~ 2022,190cm,85kg,Right,€34.5M,Antonio Rüdiger,"Nov 9, 2021",FIFA 22
M. Kovačić,27,83,84,Chelsea,2019 ~ 2024,176cm,80kg,Right,€41.5M,Mateo Kovačić,"Nov 9, 2021",FIFA 22
M. Mount,22,83,89,Chelsea,2016 ~ 2024,180cm,74kg,Right,€58.5M,Mason Mount,"Nov 9, 2021",FIFA 22
Allan,30,83,83,Everton,2020 ~ 2023,175cm,74kg,Right,€30.5M,Allan Marques Loureiro,"Nov 9, 2021",FIFA 22
L. Digne,27,83,83,Everton,2018 ~ 2023,178cm,74kg,Left,€35M,Lucas Digne,"Nov 9, 2021",FIFA 22
J. Pickford,27,83,85,Everton,2017 ~ 2024,185cm,77kg,Left,€33M,Jordan Pickford,"Nov 9, 2021",FIFA 22
J. Matip,29,83,83,Liverpool,2016 ~ 2024,194cm,90kg,Right,€30.5M,Joel Matip,"Nov 9, 2021",FIFA 22
J. Stones,27,83,86,Manchester City,2016 ~ 2026,188cm,76kg,Right,€41M,John Stones,"Nov 9, 2021",FIFA 22
Gabriel Jesus,24,83,87,Manchester City,2016 ~ 2023,175cm,73kg,Right,€52.5M,Gabriel Fernando de Jesus,"Nov 9, 2021",FIFA 22
H. Maguire,28,83,84,Manchester United,2019 ~ 2024,194cm,100kg,Right,€34.5M,Harry Maguire,"Nov 9, 2021",FIFA 22
A. Wan-Bissaka,23,83,86,Manchester United,2019 ~ 2024,183cm,72kg,Right,€46M,Aaron Wan-Bissaka,"Nov 9, 2021",FIFA 22
R. Jiménez,30,83,83,Wolverhampton Wanderers,2019 ~ 2024,188cm,81kg,Right,€35.5M,Raúl Jiménez,"Nov 9, 2021",FIFA 22
N. Pope,29,83,83,Burnley,2016 ~ 2023,199cm,76kg,Right,€25M,Nick Pope,"Nov 9, 2021",FIFA 22
J. Boateng,32,83,83,Olympique Lyonnais,2021 ~ 2023,190cm,94kg,Right,€23.5M,Jérôme Boateng,"Nov 9, 2021",FIFA 22
M. Icardi,28,83,83,Paris Saint-Germain,2020 ~ 2024,181cm,75kg,Right,€37M,Mauro Icardi,"Nov 9, 2021",FIFA 22
P. Kimpembe,25,83,87,Paris Saint-Germain,2015 ~ 2024,189cm,80kg,Left,€45.5M,Presnel Kimpembe,"Nov 9, 2021",FIFA 22
N. Süle,25,83,88,FC Bayern München,2017 ~ 2022,195cm,99kg,Right,€48M,Niklas Süle,"Nov 9, 2021",FIFA 22
L. Hernández,25,83,86,FC Bayern München,2019 ~ 2024,184cm,79kg,Left,€43M,Lucas Hernández,"Nov 9, 2021",FIFA 22
A. Davies,20,83,90,FC Bayern München,2019 ~ 2025,185cm,77kg,Left,€68M,Alphonso Davies,"Nov 9, 2021",FIFA 22
A. Witsel,32,83,83,Borussia Dortmund,2018 ~ 2022,186cm,81kg,Right,€24M,Axel Witsel,"Nov 9, 2021",FIFA 22
L. Hrádecký,31,83,83,Bayer 04 Leverkusen,2018 ~ 2023,192cm,83kg,Right,€19M,Lukáš Hrádecký,"Nov 9, 2021",FIFA 22
W. Weghorst,28,83,83,VfL Wolfsburg,2018 ~ 2023,197cm,84kg,Right,€37M,Wout Weghorst,"Nov 9, 2021",FIFA 22
A. Kramarić,30,83,83,TSG Hoffenheim,2015 ~ 2022,177cm,73kg,Right,€35.5M,Andrej Kramarić,"Nov 9, 2021",FIFA 22
Angeliño,24,83,86,RB Leipzig,2021 ~ 2025,175cm,69kg,Left,€46M,José Ángel Esmoris Tasende,"Nov 9, 2021",FIFA 22
D. Zapata,30,83,83,Atalanta,2020 ~ 2023,189cm,88kg,Right,€35.5M,Duván Zapata,"Nov 9, 2021",FIFA 22
R. Gosens,26,83,83,Atalanta,2017 ~ 2023,183cm,76kg,Left,€36M,Robin Gosens,"Nov 9, 2021",FIFA 22
Alex Sandro,30,83,83,Juventus,2015 ~ 2023,180cm,80kg,Left,€31.5M,Alex Sandro Lobo Silva,"Nov 9, 2021",FIFA 22
J. Cuadrado,33,83,83,Juventus,2015 ~ 2022,179cm,72kg,Right,€19M,Juan Cuadrado,"Nov 9, 2021",FIFA 22
Morata,28,83,83,Juventus,"Jun 30, 2022 On Loan",190cm,84kg,Right,€37M,Álvaro Borja Morata Martín,"Nov 9, 2021",FIFA 22
F. Acerbi,33,83,83,Lazio,2018 ~ 2023,192cm,88kg,Left,€17.5M,Francesco Acerbi,"Nov 9, 2021",FIFA 22
Z. Ibrahimović,39,83,83,AC Milan,2020 ~ 2022,195cm,95kg,Right,€12.5M,Zlatan Ibrahimović,"Nov 9, 2021",FIFA 22
L. Spinazzola,28,83,83,Roma,2019 ~ 2024,186cm,75kg,Right,€33M,Leonardo Spinazzola,"Nov 9, 2021",FIFA 22
R. De Paul,27,83,84,Atlético de Madrid,2021 ~ 2026,180cm,70kg,Right,€41.5M,Rodrigo Javier De Paul,"Nov 9, 2021",FIFA 22
T. Lemar,25,83,86,Atlético de Madrid,2018 ~ 2023,171cm,66kg,Left,€48M,Thomas Lemar,"Nov 9, 2021",FIFA 22
Á. Correa,26,83,86,Atlético de Madrid,2014 ~ 2024,171cm,70kg,Right,€48M,Ángel Correa,"Nov 9, 2021",FIFA 22
João Félix,21,83,91,Atlético de Madrid,2019 ~ 2026,181cm,72kg,Right,€82M,João Félix Sequeira,"Nov 9, 2021",FIFA 22
O. Dembélé,24,83,88,FC Barcelona,2017 ~ 2022,178cm,67kg,Left,€55M,Ousmane Dembélé,"Nov 9, 2021",FIFA 22
Marco Asensio,25,83,86,Real Madrid CF,2015 ~ 2023,182cm,76kg,Left,€48M,Marco Asensio Willemsen,"Nov 9, 2021",FIFA 22
F. Mendy,26,83,86,Real Madrid CF,2019 ~ 2025,180cm,73kg,Left,€43.5M,Ferland Mendy,"Nov 9, 2021",FIFA 22
F. Valverde,22,83,89,Real Madrid CF,2016 ~ 2027,182cm,78kg,Right,€58M,Federico Valverde,"Nov 9, 2021",FIFA 22
Muniain,28,83,83,Athletic Club de Bilbao,2009 ~ 2024,170cm,66kg,Right,€36.5M,Iker Muniain Goñi,"Nov 9, 2021",FIFA 22
Canales,30,83,83,Real Betis Balompié,2018 ~ 2023,176cm,65kg,Left,€34.5M,Sergio Canales Madrazo,"Nov 9, 2021",FIFA 22
